Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DE-20-VX20 BAID36 10UM	14/303	0.0430994550391581	0.9999959062613897	0	0	1.721835258167438	5.413871773996313	SPARC;FOXD1;ANXA1;ANXA2;CMTM3;ANXA5;AQP1;TUBA1C;C6ORF15;CSRP2;HOXB3;TAGLN2;PLP2;CLIC1
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.04322720181594989	0.9999959062613897	0	0	3.212949163768836	10.092790010651848	NNMT;CMTM3;ANXA2;IGFBP7
CB-59-ZX97 BAID28 10UM	6/94	0.04609721305315646	0.9999959062613897	0	0	2.4130380588333056	7.424924827788352	SRPX;SPARC;ANXA2;F2R;PDPN;CLIC1
BD-11-DV28 BAID9 10UM	13/278	0.046236145758670744	0.9999959062613897	0	0	1.7425995807127883	5.356739629230498	STEAP3;SPARC;CDKN2C;ANXA2;CMTM3;F2R;AQP1;TMEM37;C6ORF15;CCDC80;MAGED4B;S100A4;S100A11
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	21/525	0.05915012182477581	0.9999959062613897	0	0	1.4836309523809523	4.195228570063232	STEAP3;ANXA1;SPARC;ANXA2;CMTM3;F2R;GPX8;EMP3;AQP1;SYDE1;C6ORF15;CCDC80;ID3;S100A4;TAGLN2;PLP2;IGF2BP2;HOXB7;CLIC1;S100A11;MDFI
CA-48-CT20 BAID36 10UM	9/182	0.06656478789839824	0.9999959062613897	0	0	1.8431868412104726	4.994261374513064	TUBA1C;FOXD1;SRPX2;ANXA2;DYNLT1;ID3;TAGLN2;YBX1;CLIC1
CID988563 GD-71-OU80 BAID12 10UM	6/106	0.07379007606654218	0.9999959062613897	0	0	2.1221572212065816	5.531468641375994	TUBA1C;FOXD1;ANXA2;CMTM3;ANXA5;ID3
BD-11-DV28 BAID32 10UM	8/161	0.07896934697790067	0.9999959062613897	0	0	1.8510763326737423	4.69931918321793	TMEM37;STEAP3;SPARC;MAGED4B;CDKN2C;ANXA2;F2R;S100A4
CID10217017 AD-11-RL84 BAID7 1UM	13/312	0.0940876439720403	0.9999959062613897	0	0	1.54170692431562	3.643868328931544	STEAP3;SPARC;CDKN2C;ANXA2;CMTM3;F2R;AQP1;TMEM37;CCDC80;MAGED4B;ID3;S100A4;CD99
CID44195094 GB-06-BA49 BAID27 1UM	11/254	0.09580920838874234	0.9999959062613897	0	0	1.6039056686863165	3.761794705830282	STEAP3;SPARC;CCDC80;FOXD1;ANXA2;ANXA5;NACA2;TAGLN2;IGFBP7;S100A11;AQP1
CID11238078 FA-16-KA99 BAID45 0.01UM	3/41	0.10371691174877652	0.9999959062613897	0	0	2.785980861244019	6.313283630739642	TUBA1C;CMTM3;YBX1
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	7/147	0.11379937739506008	0.9999959062613897	0	0	1.768040293040293	3.842514197321813	TMEM37;SPARC;CCDC80;CDKN2C;ANXA2;F2R;S100A4
CID23649154 TEGOBUVIR BB-82-TP51 BAID21 0.01UM	5/93	0.11528880803448906	0.9999959062613897	0	0	2.007195587259456	4.336174583820798	SPARC;CMTM3;ANXA5;YBX1;CHST14
CID151166 LUMIRACOXIB GA-04-SF76 BAID10 0.1UM	4/70	0.12846318307517307	0.9999959062613897	0	0	2.1395374510128606	4.390572464732443	TUBA1C;ANXA5;ACTL6A;YBX1
CID10090485 GALUNISERTIB JD-12-CE09 BAID44 10UM	8/184	0.13879522223704854	0.9999959062613897	0	0	1.607256046705588	3.1739379647336365	C6ORF15;SPARC;FOXD1;ANXA2;TAGLN2;YBX1;S100A11;AQP1
CID59292964 EE-08-SZ54 BAID32 10UM	7/157	0.14549750335829673	0.9999959062613897	0	0	1.6493162393162393	3.1792159654867076	EIF5AL1;TUBA1C;TMEM37;MAGED4B;CMTM3;RPLP0;AQP1
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID52 10UM	6/129	0.1479494505045155	0.9999959062613897	0	0	1.7232799750300976	3.2929891902524075	STEAP3;SPARC;FOXD1;ANXA1;CMTM3;YBX1
BD-11-DV28 BAID35 10UM	11/279	0.15235150079112209	0.9999959062613897	0	0	1.4523943933469186	2.7327743443841337	TMEM37;STEAP3;SPARC;CDKN2C;MAGED4B;ANXA2;CMTM3;F2R;S100A4;S100A11;PPIC
CID9887803 SB-332235 TC-59-QN21 BAID12 10UM	3/50	0.15998222374255994	0.9999959062613897	0	0	2.251450676982592	4.126216930871176	SPARC;ANXA5;GPX7
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	4/77	0.1641812562576543	0.9999959062613897	0	0	1.9336776704843177	3.4937383410093736	C6ORF15;SPARC;MAGED4B;ANXA5
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	3/51	0.16672509861957904	0.9999959062613897	0	0	2.2044318181818183	3.949038864404418	SRPX;STEAP3;NNMT
CID345501 DEOXYPODOPHYLLOTOXIN CB-02-XL81 BAID48 10UM	4/78	0.16955211763313963	0.9999959062613897	0	0	1.907448432038596	3.384948299110976	TUBA1C;TMEM37;F2R;CHST14
CID9941444 PASIREOTIDE AE-90-RS19 BAID8 10UM	3/52	0.173549702142493	0.9999959062613897	0	0	2.159332096474954	3.781619412747408	EIF5AL1;TAGLN2;AJUBA
CID65914 ABECARNIL YF-57-HO38 BAID28 10UM	4/79	0.17498388599973558	0.9999959062613897	0	0	1.881918639951427	3.2802997191028442	EIF5AL1;CMTM3;TAGLN2;YBX1
CID121271792 BB-10-PR06 BAID12 10UM	11/288	0.176168408864103	0.9999959062613897	0	0	1.404545272889552	2.4387328469862974	TMEM37;C6ORF15;SPARC;CCDC80;FOXD1;ANXA1;F2R;ID3;S100A4;CLIC1;AQP1
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	10/260	0.18515189024543896	0.9999959062613897	0	0	1.4141436464088397	2.385064641029477	TMEM37;SPARC;CCDC80;MAGED4B;HOXB3;ID3;EMP3;PLP2;NKX2-5;AQP1
CID3021729 OA-86-XP09 BAID17 0.01UM	4/81	0.18602174385127176	0.9999959062613897	0	0	1.8328483902254393	3.082652512611885	SPARC;CMTM3;ANXA5;YBX1
CID126599606 CAPZIMIN AC-86-KF37 BAID16 10UM	12/324	0.18858498415959327	0.9999959062613897	0	0	1.3603725295037679	2.269382336060948	EIF5AL1;TMEM37;STEAP3;SPARC;CCDC80;MAGED4B;ANXA2;F2R;TAGLN2;S100A4;IGFBP7;AJUBA
CID147525 TAZAROTENICACID IF-03-OL58 BAID12 10UM	5/110	0.18897410538459636	0.9999959062613897	0	0	1.6807438303788669	2.8003634029945523	SPARC;CMTM3;F2R;ANXA5;IGFBP7
CID11035592 AE-39-DG66 BAID17 0.01UM	7/171	0.19599919536190946	0.9999959062613897	0	0	1.507426516572858	2.4565696711431424	STEAP3;C6ORF15;CCDC80;CDKN2C;ANXA2;YBX1;AQP1
CID636822 ASARONE BA-26-GI09 BAID43 1UM	4/83	0.19727793378650377	0.9999959062613897	0	0	1.786262710105831	2.8993575153780733	C6ORF15;CCDC80;EMP3;AQP1
CID9981344 CB-06-FE89 BAID50 0.1UM	4/83	0.19727793378650377	0.9999959062613897	0	0	1.786262710105831	2.8993575153780733	SPARC;ANXA2;ANXA5;ID3
CID3672 IBUPROFEN AA-98-MW52 BAID12 10UM	3/56	0.2015772716971508	0.9999959062613897	0	0	1.9959519725557462	3.196681727607304	CMTM3;ANXA5;YBX1
LD-30-MF71 BAID47 1UM	3/56	0.2015772716971508	0.9999959062613897	0	0	1.9959519725557462	3.196681727607304	ANXA1;NNMT;ANXA2
XB-53-OZ95 BAID51 1UM	7/174	0.207635317749816	0.9999959062613897	0	0	1.480116689697528	2.3267020197630353	C6ORF15;SPARC;FOXD1;ANXA2;TAGLN2;S100A11;AQP1
CID9819408 FA-88-II68 BAID50 0.1UM	5/114	0.20834564783870696	0.9999959062613897	0	0	1.618730328801982	2.539070480852474	TMEM37;STEAP3;GNG5;CLIC1;S100A11
PF-84-RH50 BAID36 10UM	9/237	0.2112379620254568	0.9999959062613897	0	0	1.3945675309597523	2.168231758525244	TUBA1C;TMEM37;SPARC;CCDC80;ANXA2;ID3;TAGLN2;S100A4;AQP1
BA-92-CZ75 BAID36 10UM	9/237	0.2112379620254568	0.9999959062613897	0	0	1.3945675309597523	2.168231758525244	SPARC;CCDC80;ANXA2;DYNLT1;CMTM3;ID3;TAGLN2;CHST14;YBX1
CID68379135 DB-73-BC12 BAID4 10UM	4/86	0.21453440596477982	0.9999959062613897	0	0	1.720645075303212	2.6485634174955583	C6ORF15;ANXA2;RPLP0;S100A11
CID67347910 SC-25-HE80 BAID26 0.1UM	3/58	0.21596812131164067	0.9999959062613897	0	0	1.9231735537190082	2.9475028460059414	TMEM37;HOXC4;ID3
AF-83-BX08 BAID50 0.1UM	3/58	0.21596812131164067	0.9999959062613897	0	0	1.9231735537190082	2.9475028460059414	NNMT;ANXA2;F2R
CID54764565 URMC-099 GF-90-DG49 BAID31 1UM	7/177	0.21952430300852857	0.9999959062613897	0	0	1.4537707390648567	2.204341425204758	EIF5AL1;CCDC80;FOXD1;ANXA2;ID3;TAGLN2;CLIC1
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID43 10UM	9/240	0.22142887395664126	0.9999959062613897	0	0	1.3762414056531704	2.0748956563350114	TMEM37;C6ORF15;SPARC;CCDC80;CDKN2C;MAGED4B;ANXA2;F2R;S100A4
RD-89-FH52 BAID52 10UM	3/59	0.22324307756986042	0.9999959062613897	0	0	1.8887337662337662	2.8321450770484593	TAGLN2;EMP3;CLIC1
CID11589523 DB-34-KT45 BAID39 1UM	5/118	0.22832936833099632	0.9999959062613897	0	0	1.5611071636199212	2.305702350567253	SPARC;ANXA2;F2R;ANXA5;ID3
CID176167 ENZASTAURIN BB-21-KE77 BAID40 10UM	3/60	0.2305656019552209	0.9999959062613897	0	0	1.8555023923444975	2.72242994150569	CCDC80;NNMT;F2R
ZD-78-BS65 BAID52 10UM	6/149	0.23131011758764952	0.9999959062613897	0	0	1.480727681824574	2.167779356532131	ANXA1;ANXA2;DYNLT1;RPLP0;YBX1;S100A11
CID44193969 QE-98-XD90 BAID47 1UM	6/150	0.23582744234926775	0.9999959062613897	0	0	1.470368677635588	2.124175341246757	STEAP3;C6ORF15;SPARC;FOXD1;CMTM3;GPX8
CID67347910 SC-25-HE80 BAID27 1UM	3/61	0.23793168731456174	0.9999959062613897	0	0	1.8234169278996866	2.6180103760666817	F2R;YBX1;PPIC
FA-63-WI26 BAID33 0.01UM	6/152	0.24494218774287507	0.9999959062613897	0	0	1.4500763817585334	2.0398703925294703	SRPX;TMEM37;SPARC;MAGED4B;CMTM3;IGFBP7
CID4878 SRCKINASEINHIBITORPP2 BD-01-RI07 BAID12 10UM	6/154	0.2541577865879427	0.9999959062613897	0	0	1.4303325263105884	1.9592694913844704	C6ORF15;SPARC;FOXD1;ANXA2;TAGLN2;AQP1
CID46398810 AB-12-PP61 BAID12 10UM	9/250	0.25667388721760015	0.9999959062613897	0	0	1.318449475225775	1.7930239414657274	IKBIP;SPARC;CCDC80;FOXD1;CDKN2C;ANXA2;ID3;TAGLN2;YBX1
CID44612496 CB-13-ZM96 BAID32 10UM	8/218	0.2571653981516166	0.9999959062613897	0	0	1.3446570554827435	1.826092458413136	EIF5AL1;TMEM37;SPARC;CDKN2C;MAGED4B;RPLP0;TAGLN2;AQP1
CID78357767 QA-81-IM40 BAID30 0.1UM	3/64	0.2602522920616611	0.9999959062613897	0	0	1.7334724292101342	2.333433762395677	SPARC;FOXD1;CMTM3
BB-84-DG64 BAID49 0.01UM	3/65	0.26775397112642185	0.9999959062613897	0	0	1.7054252199413489	2.247216195467196	CMTM3;ANXA5;YBX1
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID3 10UM	8/222	0.2728400168399814	0.9999959062613897	0	0	1.3192489067992799	1.7135323981252646	TMEM37;SPARC;CCDC80;CDKN2C;MAGED4B;ANXA2;F2R;S100A4
CID5289501 AROTINOIDACID CB-13-ZM26 BAID39 1UM	4/96	0.2745945425587626	0.9999959062613897	0	0	1.5328264829333966	1.9811163949626263	SPARC;FOXD1;CMTM3;ANXA5
CID3730790 GE-77-FY84 BAID12 10UM	3/66	0.27528025955474056	0.9999959062613897	0	0	1.6782683982683984	2.1649084587354497	C6ORF15;ANXA2;S100A11
CID18946 1,2-ETHANEDIONE,1,2-BIS(4-CHLOROPHENYL)- AC-31-AY35 BAID12 10UM	3/67	0.2828275970891965	0.9999959062613897	0	0	1.6519602272727272	2.0862899173359475	SPARC;CMTM3;YBX1
CID125101 6,7,4'-TRIHYDROXYISOFLAVAN MA-88-CA03 BAID50 0.1UM	2/38	0.2831322822447037	0.9999959062613897	0	0	1.9571486186731195	2.469610491719092	ANXA5;GPX8
CID4858 OC-40-XI13 BAID27 1UM	8/226	0.2887736676861414	0.9999959062613897	0	0	1.2947731672418146	1.6082533588645602	SPARC;CCDC80;CMTM3;GPX8;ID3;EMP3;PLP2;AQP1
CID146680897 JB-74-LF71 BAID32 10UM	8/227	0.29279364991144463	0.9999959062613897	0	0	1.2887939340622512	1.5830090727873718	TMEM37;STEAP3;SPARC;CCDC80;ANXA2;F2R;TAGLN2;AQP1
CID46190878 GSK1331268 S0-EE-XYMJ BAID30 0.1UM	4/99	0.2931589885178981	0.9999959062613897	0	0	1.4841913526986865	1.8211624456508129	SPARC;CMTM3;ANXA5;YBX1
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID49 0.01UM	5/131	0.29650523544053503	0.9999959062613897	0	0	1.3990991773838488	1.700871443109671	FOXD1;CMTM3;ANXA5;NACA2;YBX1
BD-11-DV28 BAID48 10UM	6/163	0.2966835997401038	0.9999959062613897	0	0	1.3477101503277868	1.637587817635106	TMEM37;SPARC;MAGED4B;ANXA2;F2R;S100A4
CID54764565 URMC-099 GF-90-DG49 BAID32 10UM	9/261	0.297342247609785	0.9999959062613897	0	0	1.2601759453781514	1.5284314321360173	EIF5AL1;STEAP3;SPARC;CCDC80;ANXA2;CMTM3;ID3;TAGLN2;AQP1
CID1617110 (S)-2-AMINO-5-PHOSPHONOPENTANOICACID CC-42-ZV45 BAID45 0.01UM	2/40	0.30372126461518445	0.9999959062613897	0	0	1.8539497564237273	2.2092497552134818	TUBA1C;YBX1
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	2/40	0.30372126461518445	0.9999959062613897	0	0	1.8539497564237273	2.2092497552134818	FOXD1;CMTM3
CID16119710 JE-04-LS32 BAID51 1UM	7/197	0.3039758831625221	0.9999959062613897	0	0	1.2993927125506073	1.5473258240600265	STEAP3;CCDC80;FOXD1;GNG5;ANXA5;ID3;YBX1
BD-11-DV28 BAID10 10UM	15/464	0.30447916402006325	0.9999959062613897	0	0	1.1796971377948517	1.4028399434384926	STEAP3;CDKN2C;SPARC;ANXA2;CMTM3;F2R;AQP1;TMEM37;C6ORF15;CCDC80;MAGED4B;PDPN;S100A4;TAGLN2;S100A11
CID139600315 CD-97-ZV62 BAID26 0.1UM	3/70	0.3055615066019599	0.9999959062613897	0	0	1.5777476255088196	1.8705841950854283	CCDC80;NNMT;ID3
JD-02-GA59 BAID32 10UM	4/101	0.3056255053493199	0.9999959062613897	0	0	1.4534392428595573	1.7228992701086834	TUBA1C;ANXA2;TAGLN2;AQP1
CID132010322 DA-27-BW40 BAID26 0.1UM	6/166	0.3111673686628451	0.9999959062613897	0	0	1.3222349177330897	1.5436092376068689	CCDC80;CMTM3;PDPN;ID3;EMP3;AQP1
BD-11-DV28 BAID29 10UM	12/365	0.31127584022896054	0.9999959062613897	0	0	1.1997926408445172	1.4002489727448426	TMEM37;STEAP3;C6ORF15;SPARC;CCDC80;MAGED4B;ANXA2;F2R;TAGLN2;S100A4;S100A11;AQP1
CID2746 TACEDINALINE GE-47-OO30 BAID43 1UM	3/71	0.3131590508191151	0.9999959062613897	0	0	1.5544652406417112	1.804802646441772	CDKN2C;ANXA2;EMP3
CID21581855 PSAMMAPLIND KE-37-MN32 BAID7 1UM	4/103	0.3181464283291994	0.9999959062613897	0	0	1.4239296425088774	1.6307462184319705	C6ORF15;NNMT;CDKN2C;CMTM3
CID133008 L741742 MF-04-HB41 BAID38 0.1UM	3/72	0.3207610593435178	0.9999959062613897	0	0	1.5318577075098814	1.7418122812245833	CMTM3;ANXA5;YBX1
CID14151647 DF-70-CD57 BAID17 0.01UM	2/42	0.32420071650055304	0.9999959062613897	0	0	1.761070780399274	1.9836568479090237	CMTM3;YBX1
CID5113032 EC-17-MF19 BAID30 0.1UM	3/73	0.328364463020862	0.9999959062613897	0	0	1.5098961038961038	1.6814672888750057	SPARC;ANXA5;YBX1
CID24888322 BJB-432 PA-25-OV46 BAID47 1UM	4/105	0.33070698551349687	0.9999959062613897	0	0	1.395588739201789	1.5442503906382983	ANXA1;ANXA2;CMTM3;YBX1
BD-11-DV28 BAID36 10UM	11/338	0.3338349025729788	0.9999959062613897	0	0	1.186679756705824	1.3019166993024835	SRPX;TMEM37;STEAP3;C6ORF15;SPARC;CCDC80;CDKN2C;ANXA2;CMTM3;F2R;S100A4
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID50 0.1UM	2/43	0.33438375773049533	0.9999959062613897	0	0	1.7180293037050152	1.8820426382408495	STEAP3;ANXA5
CID24961094 AZ505 CF-55-OA12 BAID21 0.01UM	2/43	0.33438375773049533	0.9999959062613897	0	0	1.7180293037050152	1.8820426382408495	SPARC;ACTL6A
CID51355 APTAZAPINE BD-22-KS33 BAID10 0.1UM	3/74	0.3359662759849492	0.9999959062613897	0	0	1.4885531370038412	1.623631136946103	SRPX;STEAP3;FOXD1
CID119081417 PF-CBP1 DE-81-PO11 BAID23 1UM	3/74	0.3359662759849492	0.9999959062613897	0	0	1.4885531370038412	1.623631136946103	C6ORF15;NNMT;GPX8
CID29021560 [1-(PYRIDIN-2-YLMETHYL)INDOL-3-YL]METHANOL BB-51-ML99 BAID31 1UM	4/106	0.33699762943520406	0.9999959062613897	0	0	1.381835065538055	1.5029935114527009	SPARC;MAGED4B;ID3;S100A4
CID9862831 SB-28-EJ14 BAID19 1UM	4/106	0.33699762943520406	0.9999959062613897	0	0	1.381835065538055	1.5029935114527009	TUBA1C;TMEM37;ACTL6A;GPX8
CID71458574 HSMG-1INHIBITOR11E IA-76-ZU47 BAID30 0.1UM	7/205	0.3395195499291038	0.9999959062613897	0	0	1.2463739963739964	1.346362791227096	STEAP3;SPARC;MAGED4B;ANXA5;CHST14;YBX1;CD99
CID118958122 FD-86-NE74 BAID16 10UM	14/442	0.3398494464856645	0.9999959062613897	0	0	1.1542056074766356	1.2456793611284913	EIF5AL1;STEAP3;SPARC;ANXA2;RPLP0;ANXA5;EMP3;AQP1;TUBA1C;C6ORF15;CCDC80;S100A4;TAGLN2;S100A11
CID124203831 PF-06761281 TC-69-EY43 BAID16 10UM	4/107	0.3432928415453444	0.9999959062613897	0	0	1.3683484534988593	1.4629990736253684	SRPX;HOXB3;IGF2BP2;PPIC
CID134823928 NVS-ZP7-4 GA-81-DL34 BAID35 1UM	3/75	0.34356359577053547	0.9999959062613897	0	0	1.4678030303030303	1.5681758694056351	FOXD1;ANXA2;ID3
CID4592 OLOMOUCINE BC-53-HT63 BAID49 0.01UM	3/75	0.34356359577053547	0.9999959062613897	0	0	1.4678030303030303	1.5681758694056351	TUBA1C;NACA2;YBX1
CID11711142 BE-50-RK99 BAID43 1UM	3/75	0.34356359577053547	0.9999959062613897	0	0	1.4678030303030303	1.5681758694056351	ANXA2;ID3;S100A4
CID10296883 SOTRASTAURIN BB-85-NU70 BAID16 10UM	2/44	0.3445214111135329	0.9999959062613897	0	0	1.6770374211390546	1.7870494646460509	NNMT;CCDC80
CID1103147 CF-83-HM41 BAID18 0.1UM	2/44	0.3445214111135329	0.9999959062613897	0	0	1.6770374211390546	1.7870494646460509	SRPX;CMTM3
CID45483510 IC-05-WD74 BAID16 10UM	6/173	0.3453662787229985	0.9999959062613897	0	0	1.2663521220812488	1.346321939056794	TUBA1C;TMEM37;SPARC;ANXA2;ANXA5;AQP1
CID129074791 CASP8-IN-1 NA-29-UI75 BAID16 10UM	10/308	0.3477057690026506	0.9999959062613897	0	0	1.1833957506767028	1.2501376713108858	TMEM37;SPARC;CCDC80;CDKN2C;MAGED4B;CMTM3;F2R;TAGLN2;S100A4;AQP1
CID294677 13H-BENZO[G]INDENO[1,2-B]QUINOXALIN-13-ONE IE-28-SY71 BAID49 0.01UM	4/108	0.3495909017355617	0.9999959062613897	0	0	1.3551211993834944	1.4242210792793193	TUBA1C;FOXD1;CMTM3;ANXA5
CID137636547 GD-39-YG36 BAID52 10UM	4/108	0.3495909017355617	0.9999959062613897	0	0	1.3551211993834944	1.4242210792793193	TUBA1C;MAGED4B;CCDC80;ANXA2
CID301929 LL-Z1271ALPHA YA-92-YO01 BAID3 1UM	6/174	0.35028524072188966	0.9999959062613897	0	0	1.2587490206320189	1.3204371417588678	TMEM37;SPARC;MAGED4B;CCDC80;ANXA2;S100A4
CID3925 QX-314 GB-81-GK41 BAID39 1UM	5/141	0.3509865819712929	0.9999959062613897	0	0	1.295553349076857	1.3564537936166494	SPARC;CMTM3;ANXA5;CHST14;YBX1
CID11502846 IB-87-ZR37 BAID31 1UM	3/76	0.3511536030445372	0.9999959062613897	0	0	1.4476214196762143	1.514981467490131	SPARC;CMTM3;YBX1
CID6918616 CA-64-LT35 BAID44 10UM	3/76	0.3511536030445372	0.9999959062613897	0	0	1.4476214196762143	1.514981467490131	SRPX;FOXD1;ANXA2
CID97297 5-IODOTUBERCIDIN BD-69-GX17 BAID30 0.1UM	2/45	0.35460840624650986	0.9999959062613897	0	0	1.6379521377622082	1.6981324310127572	TGIF1;CMTM3
CID441314 MIGLITOL BE-41-AV63 BAID11 1UM	2/45	0.35460840624650986	0.9999959062613897	0	0	1.6379521377622082	1.6981324310127572	CDKN2C;RPLP0
CID59568656 UD-49-HQ53 BAID41 0.01UM	2/45	0.35460840624650986	0.9999959062613897	0	0	1.6379521377622082	1.6981324310127572	GNG5;CHST14
CID44281451 FF-28-ES17 BAID49 0.01UM	2/45	0.35460840624650986	0.9999959062613897	0	0	1.6379521377622082	1.6981324310127572	NNMT;CMTM3
CID4076092 HF-57-QB74 BAID38 0.1UM	2/45	0.35460840624650986	0.9999959062613897	0	0	1.6379521377622082	1.6981324310127572	MAGED4B;CMTM3
CID10316032 SD-208 AA-86-YV75 BAID4 10UM	7/209	0.35749908175456074	0.9999959062613897	0	0	1.2214394516374714	1.2564000844724088	IKBIP;C6ORF15;SPARC;FOXD1;ANXA2;TAGLN2;AQP1
CID6918666 ZD-43-CS43 BAID10 0.1UM	3/77	0.35873356160438247	0.9999959062613897	0	0	1.4279852579852579	1.4639352641876127	SPARC;CDKN2C;PPIC
CID4877 IC-91-IX22 BAID27 1UM	4/110	0.3621888361059744	0.9999959062613897	0	0	1.3294154036498609	1.3501404001506636	TGIF1;FOXD1;CMTM3;TAGLN2
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	2/46	0.36463979784476064	0.9999959062613897	0	0	1.6006434581752187	1.6148015783458527	TUBA1C;NACA2
CID2736690 HF-01-QN73 BAID1 0.01UM	2/46	0.36463979784476064	0.9999959062613897	0	0	1.6006434581752187	1.6148015783458527	SPARC;ANXA5
CID25005065 JA-02-IU07 BAID32 10UM	2/46	0.36463979784476064	0.9999959062613897	0	0	1.6006434581752187	1.6148015783458527	TGIF1;C6ORF15
CID676987 FA-39-KG56 BAID49 0.01UM	2/46	0.36463979784476064	0.9999959062613897	0	0	1.6006434581752187	1.6148015783458527	EIF5AL1;TAGLN2
BE-48-IT75 BAID36 10UM	2/46	0.36463979784476064	0.9999959062613897	0	0	1.6006434581752187	1.6148015783458527	SPARC;CHST14
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID28 10UM	11/347	0.36517416047060286	0.9999959062613897	0	0	1.1543500702864171	1.162870197974752	TMEM37;C6ORF15;SPARC;CCDC80;ANXA1;CDKN2C;MAGED4B;ANXA2;CMTM3;F2R;S100A4
CID819652 2-({3-NITROBENZOYL}AMINO)BENZAMIDE OD-56-KP44 BAID45 0.01UM	3/78	0.36630081774588896	0.9999959062613897	0	0	1.4088727272727273	1.4149314107947033	EIF5AL1;GNG5;TAGLN2
CID56965952 S0-EE-YEL3 BAID16 10UM	3/78	0.36630081774588896	0.9999959062613897	0	0	1.4088727272727273	1.4149314107947033	EIF5AL1;STEAP3;SPARC
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	9/280	0.37068597168223577	0.9999959062613897	0	0	1.1706642066420665	1.1617671730934647	TMEM37;C6ORF15;SPARC;CCDC80;CMTM3;F2R;ID3;EMP3;AQP1
CID9821849 ABIRATERONEACETATE DE-29-MT22 BAID44 10UM	3/79	0.3738528001944187	0.9999959062613897	0	0	1.3902631578947369	1.36787038580672	SPARC;ANXA2;YBX1
CID3854666 SB225002 HA-17-MS45 BAID29 0.01UM	3/79	0.3738528001944187	0.9999959062613897	0	0	1.3902631578947369	1.36787038580672	ACTL6A;HOXB7;AJUBA
CID10127622 SELUMETINIB EB-30-VD02 BAID28 10UM	2/47	0.37461095170303893	0.9999959062613897	0	0	1.5649929421254285	1.5366153221027807	FOXD1;YBX1
CID44564 LODOXAMIDE OA-51-KF88 BAID29 0.01UM	2/47	0.37461095170303893	0.9999959062613897	0	0	1.5649929421254285	1.5366153221027807	NNMT;IGFBP7
CID127042122 HC-04-ZM18 BAID44 10UM	2/47	0.37461095170303893	0.9999959062613897	0	0	1.5649929421254285	1.5366153221027807	TMEM37;ANXA1
VA-48-TW80 BAID27 1UM	2/47	0.37461095170303893	0.9999959062613897	0	0	1.5649929421254285	1.5366153221027807	SPARC;CMTM3
CID10422572 4-BROMO-2,6-DIISOPROPYLPHENOL JC-64-QI43 BAID44 10UM	7/213	0.3755617834383423	0.9999959062613897	0	0	1.1974732387353746	1.1727242029481542	TMEM37;SPARC;MAGED4B;ANXA2;TAGLN2;S100A4;AQP1
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	20/664	0.3793805083865552	0.9999959062613897	0	0	1.095579923787771	1.061853150594939	STEAP3;ANXA1;SPARC;CMTM3;F2R;GPX8;EMP3;AQP1;TMEM37;SYDE1;C6ORF15;CCDC80;MAGED4B;HOXB3;ID3;S100A4;PLP2;HOXB7;CLIC1;MDFI
BD-11-DV28 BAID33 10UM	8/248	0.3795449320370099	0.9999959062613897	0	0	1.1747400611620795	1.1380673679764466	TMEM37;STEAP3;SPARC;CDKN2C;MAGED4B;ANXA2;CMTM3;F2R
BC-61-ZY95 BAID51 1UM	6/180	0.37989192884763723	0.9999959062613897	0	0	1.2149656433209355	1.1759269315967416	TMEM37;STEAP3;SPARC;CDKN2C;ANXA2;AQP1
AA-50-FY68 BAID21 0.01UM	3/80	0.3813870192874683	0.9999959062613897	0	0	1.3721369539551358	1.3226585471838315	CMTM3;ANXA5;YBX1
TD-33-TT56 BAID52 10UM	3/80	0.3813870192874683	0.9999959062613897	0	0	1.3721369539551358	1.3226585471838315	EIF5AL1;MAGED4B;TAGLN2
CID3394 FLURBIPROFEN AB-92-LS83 BAID52 10UM	2/48	0.3845175314275776	0.9999959062613897	0	0	1.5308924485125859	1.4631747922508882	CMTM3;YBX1
CID3074 DILAZEP BC-02-WF67 BAID24 10UM	2/48	0.3845175314275776	0.9999959062613897	0	0	1.5308924485125859	1.4631747922508882	SPARC;PLP2
