Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	28/163	1.1488618778094112E-19	2.258088020834398E-15	0	0	12.260291806958474	534.6755553308554	PCNA;TNC;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;OIP5;TK1;CEP55;E2F8;OSR2;KIF23;EMP3;NDC80;TPX2;NEIL3;WEE1;CDK2;CENPM;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-PD-173074-10	27/162	1.1868029005913075E-18	1.0912045455416725E-14	0	0	11.786706948640484	486.49949545527596	PCNA;TNC;NCAPG;HMMR;TYMS;LMNB1;AURKA;NUSAP1;OIP5;TK1;GBP1;CEP55;HOXC6;E2F8;CA12;IGFBP3;NDC80;TPX2;MELK;VNN1;CDK2;CHI3L1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-dovitinib-10	30/215	2.446285697441378E-18	1.0912045455416725E-14	0	0	9.619479235332895	390.0887452673336	ERCC6L;NCAPG;HMMR;TYMS;SKA1;LMNB1;AURKA;BRIP1;PTTG1;NUSAP1;OIP5;TK1;CEP55;E2F8;POLQ;KIF23;LYZ;NDC80;TPX2;NEIL3;CDK2;CKS2;ID3;CENPM;KIF20A;HOXB7;DTL;ASF1B;APOBEC3B;LTF
LJP006 HME1 24H-palbociclib-10	30/215	2.446285697441378E-18	1.0912045455416725E-14	0	0	9.619479235332895	390.0887452673336	PCNA;NCAPG;HMMR;TYMS;SKA1;LMNB1;AURKA;CSRP2;PTTG1;NUSAP1;RCC1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;WEE1;MELK;CDK2;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 HME1 24H-palbociclib-1.11	24/124	2.7758955623039237E-18	1.0912045455416725E-14	0	0	14.042155688622755	567.6619827966018	NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;CDK2;NUSAP1;CKS2;RCC1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;HOXC6;EZH2;LTF
LJP006 A549 24H-torin-1-0.37	25/140	4.160720790750502E-18	1.362982785703352E-14	0	0	12.747747747747749	510.17561564760507	CSTA;PCNA;NCAPG;HMMR;TYMS;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CKS2;KIF20A;DTL;ASF1B;EZH2
LJP006 A549 24H-GDC-0941-10	27/171	5.01997526745819E-18	1.4095373411698674E-14	0	0	11.044939577039274	439.9542563028026	CSTA;TNC;NCAPG;HMMR;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;MTHFD2;CDK2;CKS2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 HT29 24H-palbociclib-0.37	28/195	1.5858021419836045E-17	3.8961176375859684E-14	0	0	9.894755942660135	382.7574214452505	PCNA;NCAPG;HMMR;TYMS;SKA1;LMNB1;AURKA;CSRP2;PTTG1;MDK;NUSAP1;OIP5;TK1;CEP55;E2F8;KIF23;WDR76;NDC80;TPX2;NEIL3;MELK;CENPM;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-GDC-0980-1.11	27/184	3.45679298574182E-17	6.91569636660765E-14	0	0	10.123636153712933	383.72230901552854	CSTA;TNC;NCAPG;HMMR;SKA1;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CKS2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 BT20 24H-palbociclib-10	26/168	3.518543050932409E-17	6.91569636660765E-14	0	0	10.754284744612251	407.4357519209019	PCNA;NCAPG;HMMR;TYMS;LMNB1;AURKA;CSRP2;PTTG1;NUSAP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CENPM;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-GDC-0941-3.33	27/185	3.982589816916778E-17	7.116163895590842E-14	0	0	10.059046235037668	379.84984742434267	PCNA;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP005 HEPG2 24H-dovitinib-10	27/186	4.5841495452722835E-17	7.508454942693895E-14	0	0	9.995268768169641	376.0354244963723	TNC;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;OIP5;TK1;GBP1;CEP55;E2F8;CA12;KIF23;NDC80;TPX2;NEIL3;MELK;S100A4;KIF20A;HOXB7;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-GDC-0941-1.11	27/189	6.953287359997079E-17	9.093641078380473E-14	0	0	9.808660624370594	364.92859011972826	CSTA;NCAPG;HMMR;TYMS;LMNB1;PTTG1;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CKS2;ID3;CENPM;KIF20A;HOXB7;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 A549 24H-PI-103-10	25/157	7.200363676607212E-17	9.093641078380473E-14	0	0	11.096323596323597	412.4482957605041	CSTA;NCAPG;HMMR;TYMS;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;GBP1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-PHA-793887-1.11	26/173	7.402607848083824E-17	9.093641078380473E-14	0	0	10.385829030407344	385.7516482296538	PCNA;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;KIF23;NDC80;TPX2;NEIL3;MELK;MTHFD2;CENPM;KIF20A;DTL;CD44;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-geldanamycin-10	26/173	7.402607848083824E-17	9.093641078380473E-14	0	0	10.385829030407344	385.7516482296538	STEAP3;NNMT;PCNA;NCAPG;HMMR;TYMS;LMNB1;PTTG1;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;CA12;IGFBP3;NDC80;TPX2;NEIL3;MELK;CDK2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-palbociclib-1.11	24/143	8.740168675069975E-17	1.0105177371088257E-13	0	0	11.788657978161325	435.89761889471646	PCNA;GDF15;NCAPG;KIF23;HMMR;TYMS;NDC80;LOXL2;LMNB1;TPX2;MELK;CSRP2;PTTG1;CDK2;NUSAP1;ID3;CHI3L1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2
LJP005 A549 24H-TG-101348-10	27/194	1.3682919809426015E-16	1.4940988269681573E-13	0	0	9.512545905168516	347.472357716536	CSTA;NNMT;TNC;NCAPG;HMMR;TYMS;SKA1;LOXL2;AURKA;OIP5;TK1;PITX1;GBP1;CEP55;IGFBP3;KIF23;TPX2;NEIL3;MELK;CDK2;ID3;KIF20A;HOXB7;DTL;ASF1B;APOBEC3B;LTF
LJP006 LNCAP 24H-mitoxantrone-0.04	25/162	1.5528789457960835E-16	1.6064124041906325E-13	0	0	10.688608316345542	389.0787130458936	NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;HOXC6;KIF23;NDC80;TPX2;NEIL3;MELK;MTHFD2;CDK2;CKS2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	26/180	2.0100988437011844E-16	1.975424638647339E-13	0	0	9.910186199342826	358.18561976343966	NNMT;PCNA;NCAPG;HMMR;TYMS;LMNB1;PTTG1;NUSAP1;OIP5;TK1;CEP55;HOXC6;E2F8;CA12;KIF23;NDC80;TPX2;NEIL3;WEE1;MELK;CDK2;KIF20A;HOXB7;DTL;ASF1B;EZH2
LJP006 LNCAP 24H-MK-2206-3.33	24/151	3.1795153770260826E-16	2.975874987402269E-13	0	0	11.041538969305483	394.0132625611648	PCNA;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;WEE1;PTTG1;CDK2;NUSAP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-PHA-793887-3.33	26/184	3.4841517584906394E-16	3.1127728551424324E-13	0	0	9.65731279548574	343.7340561374149	PCNA;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;RCC1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;WEE1;MELK;CDK2;CKS2;CENPM;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-PHA-793887-3.33	26/186	4.562475128866926E-16	3.8989325503425844E-13	0	0	9.535617469879519	336.831347654736	PCNA;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;WEE1;MELK;MTHFD2;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 A375 24H-mitoxantrone-0.12	28/222	5.01360766835903E-16	4.1059357800665306E-13	0	0	8.505841924398625	299.654055133509	ERCC6L;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;OIP5;TK1;CEP55;CD99;E2F8;CA12;KIF23;WDR76;NDC80;TPX2;NEIL3;MELK;CENPI;CENPM;KIF20A;PLP2;HOXB7;DTL;ASF1B;APOBEC3B
LJP005 A549 24H-NVP-BEZ235-0.04	25/172	6.652796326980528E-16	5.170923242072207E-13	0	0	9.956384956384957	347.9390567581477	NCAPG;HMMR;TYMS;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;E2F8;POLQ;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-ZSTK-474-0.12	24/156	6.840193553491599E-16	5.170923242072207E-13	0	0	10.620577027762657	370.8551017487405	CSTA;NCAPG;HMMR;TYMS;NDC80;LMNB1;TPX2;NEIL3;MELK;CSRP2;PTTG1;CDK2;NUSAP1;EIF4EBP1;CKS2;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-GDC-0941-10	25/173	7.651561426802419E-16	5.570053327548206E-13	0	0	9.888604821037253	344.18724660608456	PCNA;NCAPG;HMMR;TYMS;LMNB1;PTTG1;NUSAP1;OIP5;TK1;CEP55;HOXC6;E2F8;KIF23;NDC80;TPX2;MELK;CDK2;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 MDAMB231 24H-palbociclib-10	24/157	7.94461208204619E-16	5.576833945450638E-13	0	0	10.540182792310116	366.470219084728	PCNA;SLC43A3;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;MELK;PTTG1;NUSAP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;LTF;E2F8
LJP005 A375 24H-dovitinib-1.11	25/175	1.0092116969415387E-15	6.840019277029635E-13	0	0	9.755755755755755	336.86241093557146	NCAPG;HMMR;TYMS;LMNB1;AURKA;CSRP2;PTTG1;NUSAP1;OIP5;TK1;CEP55;E2F8;CA12;KIF23;NDC80;TPX2;NEIL3;MELK;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 HEPG2 24H-GSK-2126458-10	23/145	1.401588104827344E-15	9.182738066793815E-13	0	0	10.985074626865671	375.7024096161361	CSTA;ANXA1;NCAPG;KIF23;HMMR;NDC80;PDIA4;LMNB1;AURKA;TPX2;MELK;PTTG1;CDK2;NUSAP1;CKS2;HOXB2;KIF20A;TK1;DTL;CEP55;CD44;ASF1B;EZH2
LJP006 A549 24H-JW-7-24-1-10	25/178	1.5179544328944949E-15	9.624320767271385E-13	0	0	9.562994366915936	326.30287776878765	CSTA;NCAPG;HMMR;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;PITX1;CEP55;E2F8;NDC80;TPX2;NEIL3;MELK;CDK2;ID3;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-MK-2206-10	23/148	2.2241751473394233E-15	1.3661300787798864E-12	0	0	10.719785074626866	361.6790122253812	CA12;PCNA;NCAPG;HMMR;TYMS;LMNB1;TPX2;NEIL3;MELK;PTTG1;CDK2;NUSAP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;GBP1;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 HME1 24H-WYE-125132-3.33	24/165	2.5281874065300685E-15	1.4931136342147492E-12	0	0	9.938081284240031	334.03157098236375	NNMT;PCNA;NCAPG;KIF23;HMMR;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;CDK2;NUSAP1;CKS2;OIP5;KIF20A;TK1;DTL;GBP1;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-PI-103-1.11	25/182	2.5828472939863376E-15	1.4931136342147492E-12	0	0	9.317438457565846	312.97167698707136	CSTA;PCNA;NCAPG;HMMR;TYMS;LMNB1;PTTG1;NUSAP1;OIP5;TK1;GBP1;CEP55;KIF23;NDC80;TPX2;NEIL3;CDK2;CKS2;ID3;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-3.33	23/150	3.0072804063009726E-15	1.6888027538813033E-12	0	0	10.54988835350805	352.7644263685522	PCNA;NCAPG;KIF23;HMMR;TYMS;SKA1;NDC80;LMNB1;AURKA;TPX2;NEIL3;PTTG1;NUSAP1;CKS2;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP006 A549 24H-ZSTK-474-10	22/135	3.2769337875894575E-15	1.7407603674343458E-12	0	0	11.31579224610198	377.40281191671426	CSTA;NCAPG;HMMR;NDC80;LMNB1;AURKA;TPX2;MELK;CSRP2;MTHFD2;EIF4EBP1;CKS2;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;HOXC6;EZH2;APOBEC3B;E2F8
LJP006 HME1 24H-OSI-027-10	22/135	3.2769337875894575E-15	1.7407603674343458E-12	0	0	11.31579224610198	377.40281191671426	CSTA;PCNA;HP;NCAPG;HMMR;TYMS;PDIA4;LMNB1;AURKA;TPX2;MELK;CSRP2;PTTG1;CKS2;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;LTF
LJP006 MDAMB231 24H-palbociclib-1.11	23/151	3.490531419511697E-15	1.8054314486974316E-12	0	0	10.466930970149253	348.43075945663946	PCNA;NCAPG;KIF23;HMMR;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP005 HCC515 24H-NU-7441-10	24/168	3.8354898256061295E-15	1.932988526212525E-12	0	0	9.729540918163673	322.967044053726	ANXA1;IGFBP3;TNC;NCAPG;KIF23;HMMR;TYMS;LMNB1;AURKA;TPX2;MELK;NUSAP1;CKS2;KIF20A;TK1;HOXB7;DTL;CEP55;ASF1B;HOXC6;EZH2;APOBEC3B;LTF;E2F8
LJP006 PC3 24H-NVP-TAE684-10	25/186	4.3340207421021755E-15	2.1296294421504564E-12	0	0	9.084084084084084	300.4313787848755	PCNA;NCAPG;TYMS;SKA1;LMNB1;AURKA;CSRP2;NUSAP1;RCC1;OIP5;TK1;CEP55;E2F8;IGFBP3;KIF23;WDR76;NDC80;TPX2;NEIL3;MELK;CDK2;HOXB7;DTL;ASF1B;EZH2
LJP006 MCF10A 24H-mitoxantrone-0.37	23/154	5.419935623838222E-15	2.5982642606473233E-12	0	0	10.225657969693517	335.8994938174476	NCAPG;KIF23;HMMR;SKA1;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;EIF4EBP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP005 MCF10A 24H-trametinib-10	25/188	5.586068971216281E-15	2.614147276887048E-12	0	0	8.971701763112806	294.4377995190627	PCNA;TNC;NCAPG;HMMR;TYMS;LMNB1;AURKA;PTTG1;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CKS2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 A549 24H-mitoxantrone-0.37	24/171	5.767369007331583E-15	2.636224135793076E-12	0	0	9.529512403763901	312.4399339734129	NCAPG;KIF23;HMMR;LYZ;SKA1;NDC80;LMNB1;AURKA;SFRP4;TPX2;NEIL3;MELK;PTTG1;CDK2;NUSAP1;CKS2;OIP5;TK1;DTL;CEP55;CD44;HOXC6;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	22/139	6.168261488336461E-15	2.7553904443921164E-12	0	0	10.926689051689051	357.51426575401695	NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;OIP5;KIF20A;TK1;HOXB7;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP005 A549 24H-torin-2-0.37	25/190	7.176485050380538E-15	3.134529192560655E-12	0	0	8.862043862043862	288.61874920704685	NCAPG;HMMR;TYMS;SKA1;LMNB1;AURKA;CSRP2;NUSAP1;EIF4EBP1;OIP5;TK1;CEP55;E2F8;KIF23;NDC80;TPX2;NEIL3;MELK;CDK2;CENPM;KIF20A;DTL;ASF1B;APOBEC3B;LTF
LJP006 LNCAP 24H-GSK-2126458-1.11	23/159	1.1034452026200091E-14	4.7148294472818E-12	0	0	9.847190517998245	316.46658659871406	PCNA;HMMR;TYMS;PDIA4;LMNB1;TPX2;MELK;PTTG1;MTHFD2;CDK2;NUSAP1;EIF4EBP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;GBP1;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 A549 24H-WYE-125132-10	23/160	1.26794299801419E-14	5.086009607822804E-12	0	0	9.774812071031702	312.7822115457282	CSTA;NCAPG;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;MELK;CSRP2;PTTG1;CDK2;NUSAP1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;LTF;E2F8
LJP005 A549 24H-NVP-BEZ235-3.33	24/177	1.2714443923420791E-14	5.086009607822804E-12	0	0	9.15298814136433	292.85935392153823	POLQ;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;CSRP2;PTTG1;CDK2;NUSAP1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;LTF;E2F8
LJP006 HME1 24H-ZSTK-474-10	24/177	1.2714443923420791E-14	5.086009607822804E-12	0	0	9.15298814136433	292.85935392153823	PCNA;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;CSRP2;CDK2;NUSAP1;CKS2;OIP5;KIF20A;TK1;DTL;GBP1;CEP55;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-GDC-0980-3.33	22/144	1.3196972271633836E-14	5.086009607822804E-12	0	0	10.476190476190476	334.8063605856046	CSTA;NCAPG;HMMR;TYMS;LMNB1;AURKA;TPX2;NEIL3;MELK;CDK2;NUSAP1;CKS2;CENPM;OIP5;KIF20A;TK1;PITX1;DTL;CEP55;ASF1B;LTF;E2F8
LJP005 MCF7 24H-mitoxantrone-0.12	22/144	1.3196972271633836E-14	5.086009607822804E-12	0	0	10.476190476190476	334.8063605856046	CA12;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;CHI3L1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;APOBEC3B;LTF
LJP006 BT20 24H-palbociclib-0.37	24/178	1.4459391869436668E-14	5.465372061418802E-12	0	0	9.0930865541644	289.77331957291483	ANXA1;SLC43A3;TNC;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;PTTG1;CDK2;NUSAP1;OIP5;KIF20A;PLP2;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP006 LNCAP 24H-JW-7-24-1-3.33	24/179	1.642950974838512E-14	6.046955567922501E-12	0	0	9.033957890670273	286.7350888899247	NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;TPX2;NEIL3;MELK;PTTG1;MTHFD2;CDK2;NUSAP1;EIF4EBP1;CKS2;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;HOXC6;EZH2;APOBEC3B
LJP005 MCF10A 24H-PD-0325901-0.12	21/130	1.6921015326163193E-14	6.046955567922501E-12	0	0	11.166879917240628	354.10421928097753	PCNA;GDF15;NCAPG;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;CKS2;CHI3L1;KIF20A;VIM;DTL;CEP55;ASF1B;EZH2
LJP006 MCF7 24H-palbociclib-1.11	21/130	1.6921015326163193E-14	6.046955567922501E-12	0	0	11.166879917240628	354.10421928097753	PCNA;GDF15;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-10	22/146	1.7732125553209662E-14	6.223659424077426E-12	0	0	10.306163594470046	326.32816384102466	PCNA;TNC;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;WEE1;PTTG1;NUSAP1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-torin-2-0.12	24/180	1.8652009306791038E-14	6.431670928508383E-12	0	0	8.975587286964533	283.7436478886028	NCAPG;KIF23;HMMR;TYMS;SKA1;NDC80;LMNB1;AURKA;TPX2;NEIL3;BRIP1;CSRP2;CDK2;NUSAP1;EIF4EBP1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;LTF;E2F8
LJP006 A549 24H-torin-1-10	23/164	2.187902813021985E-14	7.414349963783985E-12	0	0	9.495564729543771	298.66635078609147	CSTA;NCAPG;HMMR;TYMS;NDC80;PDIA4;LMNB1;AURKA;TPX2;NEIL3;MELK;CSRP2;PTTG1;CDK2;NUSAP1;EIF4EBP1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;E2F8
LJP006 HME1 24H-PI-103-10	22/148	2.371107866290609E-14	7.899004256261342E-12	0	0	10.14153439153439	318.16867498977473	PCNA;TNC;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;CSRP2;CDK2;NUSAP1;CKS2;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2
LJP006 A549 24H-NVP-TAE684-3.33	23/165	2.501339152790128E-14	8.19397017468166E-12	0	0	9.428211057389111	295.2855838968935	CSTA;NCAPG;KIF23;HMMR;LYZ;LMNB1;AURKA;SFRP4;TPX2;MELK;CSRP2;CDK2;EIF4EBP1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;LTF;E2F8
LJP006 HME1 24H-palbociclib-3.33	24/183	2.7153847026160412E-14	8.67682975382867E-12	0	0	8.804880804428878	275.0403303827127	NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;CDK2;NUSAP1;CKS2;CENPM;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP005 MCF10A 24H-mitoxantrone-1.11	22/149	2.7370310085849784E-14	8.67682975382867E-12	0	0	10.061164229471316	314.2032925695631	ANXA1;NCAPG;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;MELK;PTTG1;NUSAP1;EIF4EBP1;CHI3L1;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;HOXC6;APOBEC3B;LTF
LJP006 HME1 24H-WYE-125132-10	23/166	2.8568896821875234E-14	8.913042333872345E-12	0	0	9.361799394635215	291.9613616833784	PCNA;NCAPG;HMMR;TYMS;NDC80;PDIA4;LMNB1;AURKA;TPX2;NEIL3;MELK;CSRP2;PTTG1;CDK2;NUSAP1;CKS2;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-mitoxantrone-0.37	24/184	3.072428606489869E-14	9.435716290712246E-12	0	0	8.74940119760479	272.2264450683463	ANXA1;NCAPG;KIF23;HMMR;SKA1;NDC80;LMNB1;AURKA;TPX2;NEIL3;WEE1;MELK;CSRP2;PTTG1;NUSAP1;CKS2;ID3;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;APOBEC3B
LJP006 LNCAP 24H-QL-X-138-1.11	19/105	3.582472962307954E-14	1.0585466935004942E-11	0	0	12.744872058722645	394.58299732743643	NCAPG;KIF23;HMMR;TYMS;NDC80;TPX2;MELK;CSRP2;MTHFD2;NUSAP1;EIF4EBP1;CKS2;OIP5;KIF20A;HOXB7;DTL;CEP55;HOXC6;EZH2
LJP006 HT29 24H-palbociclib-1.11	22/151	3.634458066174866E-14	1.0585466935004942E-11	0	0	9.904162052417867	306.491537524318	PCNA;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;PTTG1;NUSAP1;CHI3L1;CENPM;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP006 MDAMB231 24H-palbociclib-3.33	22/151	3.634458066174866E-14	1.0585466935004942E-11	0	0	9.904162052417867	306.491537524318	PCNA;NCAPG;KIF23;HMMR;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;CDK2;NUSAP1;CENPM;OIP5;KIF20A;DTL;CEP55;ASF1B;EZH2;LTF;E2F8
LJP005 MCF10A 24H-dovitinib-10	23/168	3.716088621294027E-14	1.0585466935004942E-11	0	0	9.231724137931035	285.4774026227712	TNC;NCAPG;KIF23;HMMR;TYMS;NDC80;LMNB1;AURKA;TPX2;NEIL3;MELK;PTTG1;NUSAP1;CKS2;OIP5;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;LTF
LJP006 HME1 24H-torin-1-0.37	23/168	3.716088621294027E-14	1.0585466935004942E-11	0	0	9.231724137931035	285.4774026227712	PCNA;NCAPG;KIF23;HMMR;NDC80;PDIA4;AURKA;TPX2;NEIL3;MELK;CSRP2;PTTG1;MTHFD2;CDK2;NUSAP1;CKS2;KIF20A;TK1;DTL;CEP55;ASF1B;EZH2;LTF
