Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 HEPG2 24H-SYK-inhibitor-1.11	6/55	0.0011625033558938253	0.999537020139173	0	0	5.610520264443806	37.9112927044016	VNN1;IL1R2;S100A4;LYZ;HOXB6;TMEM45A
LJP006 PC3 24H-BI-2536-3.33	9/120	0.0011910817034158174	0.999537020139173	0	0	3.729538048686985	25.110582076790838	ABCC3;ST14;CSTA;LOX;S100A4;TGFBI;TFPI;HOXB7;CD99
LJP006 BT20 24H-KIN001-043-3.33	9/127	0.0017697020143717622	0.999537020139173	0	0	3.5070320952037504	22.22386634432327	OSR2;NNMT;VNN1;FN1;STON1;IGFBP7;TGFBI;HOXC10;TMEM45A
LJP008 PC3 24H-epigallocatechin-0.12	5/42	0.0020240565387084565	0.999537020139173	0	0	6.181087410595607	38.33913167876387	ABCC3;MS4A6A;APOC1;TFPI;LYZ
LJP006 SKBR3 24H-JNK-9L-0.37	6/62	0.0021723954843629635	0.999537020139173	0	0	4.907444668008048	30.092081715647097	ANXA1;VNN1;LYZ;PITX1;HOXC10;HOXC6
LJP006 PC3 24H-BI-2536-10	8/109	0.002524684002881731	0.999537020139173	0	0	3.636652344479731	21.75314284405217	HOXA10;CSTA;ANXA1;LOX;S100A4;HOXB7;CD99;HOXC6
LJP007 HEPG2 24H-BIX-02189-3.33	4/31	0.0042566842275668934	0.999537020139173	0	0	6.763932156455521	36.926096542674	ABCC3;IL1R2;APOC1;CD99
LJP008 PC3 24H-veliparib-10	4/32	0.0047831071883116145	0.999537020139173	0	0	6.522029372496662	34.8450174330373	CSTA;HOXC10;HOXB6;HOXC6
LJP006 PC3 24H-BI-2536-0.12	5/52	0.005187625727648779	0.999537020139173	0	0	4.863471024963875	25.589051428831326	CSTA;ANXA1;LOX;S100A4;ANG
LJP008 PC3 24H-I-BET-0.04	4/33	0.005351537195056451	0.999537020139173	0	0	6.296809539155656	32.93465273368506	LOX;S100A4;LYZ;AQP1
LJP005 MCF7 3H-crizotinib-1.11	5/53	0.005628573573110933	0.999537020139173	0	0	4.761904761904762	24.666186812971798	MS4A6A;LYZ;MS4A4A;TMEM45A;HOXC6
LJP006 A549 24H-celastrol-10	5/53	0.005628573573110933	0.999537020139173	0	0	4.761904761904762	24.666186812971798	HOXA10;CSTA;FN1;TFPI;HOXC6
LJP005 BT20 24H-dovitinib-10	4/34	0.00596340751038492	0.999537020139173	0	0	6.086604361370717	31.17627673336842	STEAP3;CSTA;ANXA1;FN1
LJP006 LNCAP 3H-mitoxantrone-3.33	5/54	0.006095307509583873	0.999537020139173	0	0	4.664484060603164	23.789969828452058	CSTA;IL1R2;IGFBP7;HOXA5;CD99
LJP005 BT20 3H-PF-477736-10	3/18	0.00641529415149833	0.999537020139173	0	0	9.115617715617716	46.0253958432829	CSTA;FN1;IGFBP7
LJP009 HEPG2 24H-GSK-429286A-0.12	6/78	0.006808769027000544	0.999537020139173	0	0	3.8137715179968703	19.028980546249734	TFAP2B;VNN1;FCGR2B;HOXB6;MS4A4A;HOXC6
LJP008 HEPG2 24H-I-BET151-10	8/129	0.00699487993251868	0.999537020139173	0	0	3.0324341181974117	15.048687310964741	CSTA;IL1R2;CLEC5A;S100A4;LYZ;HOXA5;CD99;AQP1
LJP008 A375 24H-azacitidine-1.11	4/36	0.007322971839549471	0.999537020139173	0	0	5.705607476635514	28.05298305234113	CD163;VNN1;HOXB6;HOXC6
LJP005 BT20 24H-PD-0325901-1.11	3/19	0.007497576212052062	0.999537020139173	0	0	8.545454545454545	41.81440866776045	VNN1;HOXB7;HOXB6
LJP005 MCF7 24H-PIK-93-0.12	3/19	0.007497576212052062	0.999537020139173	0	0	8.545454545454545	41.81440866776045	TFAP2B;ANXA1;HOXB6
LJP005 SKBR3 24H-AKT-inhibitor-1-2-1.11	3/20	0.008681215412647344	0.999537020139173	0	0	8.042369395310573	38.173860191273725	NNMT;AQP1;HOXC6
LJP009 PC3 24H-GDC-0879-10	4/38	0.008872321145446376	0.999537020139173	0	0	5.369433754810335	25.369601721641022	TFAP2B;ANXA1;LYZ;TMEM45A
LJP009 A375 24H-RAF 265-0.04	4/38	0.008872321145446376	0.999537020139173	0	0	5.369433754810335	25.369601721641022	CSTA;IL1R2;FN1;HOXB7
LJP007 A549 24H-tivozanib-10	2/7	0.009096976303594932	0.999537020139173	0	0	18.198139534883722	85.52785631058697	ANXA1;HOXC6
LJP006 MCF7 3H-QL-XII-47-0.04	4/39	0.009721233417642543	0.999537020139173	0	0	5.215754339118825	24.16689925219872	NNMT;TFPI;HOXB7;AQP1
LJP008 HA1E 24H-UNC0638-10	3/21	0.00996813239485414	0.999537020139173	0	0	7.595182595182595	35.001351120816835	LOX;HOXB6;CD99
LJP009 A375 24H-ponatinib-0.37	3/21	0.00996813239485414	0.999537020139173	0	0	7.595182595182595	35.001351120816835	TFAP2B;NNMT;AQP1
LJP006 MDAMB231 24H-PHA-793887-0.04	3/21	0.00996813239485414	0.999537020139173	0	0	7.595182595182595	35.001351120816835	NNMT;IL1R2;HOXC6
LJP005 HCC515 24H-roscovitine-10	4/40	0.010621169585283627	0.999537020139173	0	0	5.07061266874351	23.04545864560499	NNMT;CYTL1;HOXC10;CD99
LJP005 PC3 24H-SAR-245408-10	5/62	0.010846676288502772	0.999537020139173	0	0	4.008176178150293	18.132574499489824	HOXA10;TFAP2B;PRRX1;HOXB7;HOXB6
LJP006 HEPG2 24H-BI-2536-0.12	5/62	0.010846676288502772	0.999537020139173	0	0	4.008176178150293	18.132574499489824	CSTA;ANG;TGFBI;TFPI;LYZ
LJP006 BT20 3H-geldanamycin-1.11	3/22	0.011359972773998374	0.999537020139173	0	0	7.1950680898049315	32.21706327553294	HOXA10;ANXA1;CYTL1
LJP007 PC3 24H-SB-525334-0.12	4/42	0.012578388537872917	0.999537020139173	0	0	4.803246433841613	21.017926303179582	CSTA;LOX;FN1;IGFBP7
LJP005 BT20 3H-AKT-inhibitor-1-2-10	3/23	0.01285812115622813	0.999537020139173	0	0	6.834965034965035	29.757931818991693	CSTA;LYZ;HOXA5
LJP006 A549 24H-radicicol-0.12	3/23	0.01285812115622813	0.999537020139173	0	0	6.834965034965035	29.757931818991693	CSTA;ANXA1;TGFBI
LJP009 A549 24H-SYK-inhibitor-10	4/43	0.01363767246565047	0.999537020139173	0	0	4.679846633117661	20.0995635389264	TGFBI;TFPI;LYZ;SLC16A4
LJP007 A375 24H-INK-128-3.33	7/118	0.014199955564974595	0.999537020139173	0	0	2.887101218865925	12.28321961002277	CSTA;IGFBP7;TGFBI;LYZ;HOXC10;AQP1;HOXC6
LJP007 HEPG2 24H-bosutinib-3.33	3/24	0.01446371461964386	0.999537020139173	0	0	6.509157509157509	27.573521574776013	OSR2;CSTA;CYTL1
LJP005 SKBR3 24H-NU-7441-3.33	4/44	0.014751981630223862	0.999537020139173	0	0	4.562616822429907	19.237716541932443	NNMT;APOC1;FN1;TFPI
LJP007 HA1E 24H-tivantinib-10	6/93	0.015462644729352786	0.999537020139173	0	0	3.153796341265987	13.14921196367229	HOXA10;SHOX2;HOXC10;AQP1;PPIC;TMEM45A
LJP005 BT20 3H-CP-724714-0.12	3/25	0.016177655681270546	0.999537020139173	0	0	6.212968849332485	25.62305560635947	IGFBP7;HOXB7;HOXB6
LJP008 PC3 24H-belinostat-1.11	6/94	0.016226063607688176	0.999537020139173	0	0	3.117797695262484	12.848869772152268	STEAP3;ANXA1;S100A4;HOXB7;HOXB6;PPIC
LJP007 A375 24H-GSK-1059615-1.11	6/94	0.016226063607688176	0.999537020139173	0	0	3.117797695262484	12.848869772152268	TFAP2B;CSTA;APOC1;TFPI;HOXC10;HOXA5
LJP006 HS578T 24H-BI-2536-1.11	7/123	0.017475949871647703	0.999537020139173	0	0	2.761947261663286	11.177406227145312	NNMT;ANXA1;LOX;S100A4;IGFBP7;TFPI;HOXB7
LJP008 A375 24H-(+)-JQ1-1.11	6/96	0.017830179255390467	0.999537020139173	0	0	3.0482003129890454	12.27468442773716	HOXA10;CD163;ANXA1;IGFBP7;HOXB7;HOXC6
LJP006 MDAMB231 3H-mitoxantrone-0.37	4/47	0.018433405911214	0.999537020139173	0	0	4.243642686372528	16.947372058984772	ANXA1;FN1;IGFBP7;TGFBI
CPC004 HA1E 6H-ticlopidine hydrochloride-10.0	3/27	0.019933092062246808	0.999537020139173	0	0	5.694638694638694	22.29664034513027	HOXA10;FN1;AQP1
LJP009 A375 24H-sunitinib-0.12	5/73	0.02080259310937088	0.999537020139173	0	0	3.357900537264086	13.004066298878874	CSTA;IL1R2;FN1;LYZ;HOXA5
LJP008 HEPG2 24H-NPK76-II-72-1-10	4/49	0.021177140993711055	0.999537020139173	0	0	4.054620976116303	15.629886473835032	ADAMDEC1;ANXA1;LYZ;AQP1
LJP006 A549 24H-dasatinib-1.11	4/49	0.021177140993711055	0.999537020139173	0	0	4.054620976116303	15.629886473835032	CSTA;IL1R2;FN1;IGFBP7
LJP009 A549 24H-olaparib-10	1/1	0.021599848513745842	0.999537020139173	0	0	19568.0	75044.6297530725	TFAP2B
CPC014 PC3 6H-gr-231-10.0	3/28	0.021975329257948414	0.999537020139173	0	0	5.466573426573427	20.870474550226113	ABCC3;FN1;HOXA11
LJP007 A375 24H-quizartinib-10	3/28	0.021975329257948414	0.999537020139173	0	0	5.466573426573427	20.870474550226113	CSTA;HOXB6;HOXC6
LJP006 BT20 3H-NVP-TAE684-3.33	3/29	0.024127420336339685	0.999537020139173	0	0	5.2560516406670255	19.57567190652433	ANXA1;FN1;TGFBI
LJP009 HT29 24H-RAF 265-3.33	4/51	0.024158283786931516	0.999537020139173	0	0	3.8816862199244384	14.45201443426135	TFAP2B;FN1;TFPI;TREM1
LJP007 A375 24H-pazopanib-10	4/51	0.024158283786931516	0.999537020139173	0	0	3.8816862199244384	14.45201443426135	TGFBI;HOXC10;HOXA5;HOXC6
LJP009 PC3 24H-ponatinib-3.33	3/30	0.026389272304715928	0.999537020139173	0	0	5.061124061124061	18.396162114539504	TFPI;LEFTY2;HOXC6
LJP009 A375 24H-XMD-1499-10	4/53	0.02738085891876465	0.999537020139173	0	0	3.722868586687011	13.394550172106168	HOXB7;HOXC10;HOXB6;PPIC
LJP005 HS578T 3H-NU-7441-10	3/31	0.02876062534255824	0.999537020139173	0	0	4.88011988011988	17.318315678405654	HOXA10;TFPI;CD99
LJP006 MDAMB231 3H-AZD-8055-1.11	3/31	0.02876062534255824	0.999537020139173	0	0	4.88011988011988	17.318315678405654	HOXC10;CD99;HOXC6
LJP007 HEPG2 24H-dacomitinib-0.04	3/31	0.02876062534255824	0.999537020139173	0	0	4.88011988011988	17.318315678405654	CSTA;HOXB6;TMEM45A
LJP006 PC3 24H-MK-2206-1.11	4/54	0.029083705674451198	0.999537020139173	0	0	3.6482242990654203	12.905875115780084	CSTA;TGFBI;LYZ;TMEM45A
LJP007 HA1E 24H-HG-9-91-01-3.33	4/54	0.029083705674451198	0.999537020139173	0	0	3.6482242990654203	12.905875115780084	LOX;TGFBI;HOXB7;HOXC6
LJP008 A549 24H-I-BET151-10	8/168	0.029834078417728206	0.999537020139173	0	0	2.288679245283019	8.038079458346555	ABCC3;NNMT;ANXA1;TGFBI;TFPI;HOXB7;HOXA5;CD99
LJP006 A549 24H-BI-2536-3.33	8/168	0.029834078417728206	0.999537020139173	0	0	2.288679245283019	8.038079458346555	ABCC3;NNMT;LOX;FN1;ANG;TFPI;HOXB7;SLC16A4
LJP009 HEPG2 24H-GSK-2334470-0.04	4/55	0.03084803117647846	0.999537020139173	0	0	3.5765072384093823	12.441532604566564	CSTA;IGFBP7;LYZ;TMEM45A
LJP006 HS578T 3H-AS-605240-3.33	4/55	0.03084803117647846	0.999537020139173	0	0	3.5765072384093823	12.441532604566564	NNMT;FN1;CYTL1;HOXC6
LJP008 A549 24H-I-BET151-3.33	6/109	0.03094892508724408	0.999537020139173	0	0	2.6616983454122796	9.250511708000852	HOXA10;LOX;TGFBI;TFPI;HOXB7;HOXA5
CPC019 A375 6H-BRD-K23282736-10.0	2/13	0.03102146596278995	0.999537020139173	0	0	8.269344608879493	28.72006116986248	FN1;COL8A1
CPC012 HT29 6H-BRD-K11883928-10.0	2/13	0.03102146596278995	0.999537020139173	0	0	8.269344608879493	28.72006116986248	HOXA10;LOX
LJP009 HEPG2 24H-ponatinib-0.37	4/56	0.0326741000023529	0.999537020139173	0	0	3.507548526240115	11.99992878407532	OSR2;CSTA;VNN1;LYZ
LJP006 MCF10A 3H-QL-X-138-1.11	4/56	0.0326741000023529	0.999537020139173	0	0	3.507548526240115	11.99992878407532	IL1R2;FN1;CYTL1;TMEM45A
LJP006 PC3 24H-XMD-1150-10	4/56	0.0326741000023529	0.999537020139173	0	0	3.507548526240115	11.99992878407532	TFAP2B;LOX;FN1;S100A4
LJP008 A549 24H-(+)-JQ1-0.04	3/33	0.033830019396085605	0.999537020139173	0	0	4.554312354312354	15.422753974601616	NNMT;FN1;TFPI
LJP006 LNCAP 3H-AZD-7762-1.11	3/33	0.033830019396085605	0.999537020139173	0	0	4.554312354312354	15.422753974601616	TFAP2B;IGFBP7;LYZ
LJP009 HEPG2 24H-dasatinib-10	4/57	0.03456212569885257	0.999537020139173	0	0	3.4411920296244047	11.57960026920731	MS4A6A;ST14;S100A4;TGFBI
LJP008 HEPG2 24H-ABT-737-10	4/57	0.03456212569885257	0.999537020139173	0	0	3.4411920296244047	11.57960026920731	CSTA;S100A4;HOXB7;HOXB6
LJP006 LNCAP 3H-WYE-125132-10	4/57	0.03456212569885257	0.999537020139173	0	0	3.4411920296244047	11.57960026920731	HOXA10;CSTA;NNMT;IL1R2
LJP007 A375 24H-NVP-BGT226-0.12	7/142	0.03474841354675901	0.999537020139173	0	0	2.3709106753812637	7.965362150849796	CSTA;APOC1;S100A4;CYTL1;IGFBP7;HOXC10;AQP1
LJP009 A375 24H-ON-01910-0.37	5/84	0.035375799888630516	0.999537020139173	0	0	2.8887143153588473	9.65329552299152	TFAP2B;CSTA;IGFBP7;SLC16A4;HOXA5
LJP008 PC3 24H-I-BET-0.12	5/84	0.035375799888630516	0.999537020139173	0	0	2.8887143153588473	9.65329552299152	ABCC3;LOX;APOC1;S100A4;LYZ
LJP005 PC3 24H-LDN-193189-10	8/174	0.03563088430329215	0.999537020139173	0	0	2.2052739258922482	7.35357958726313	HOXA10;STEAP3;CSTA;S100A4;IGFBP7;LYZ;HOXB7;CD99
LJP005 A549 24H-XMD16-144-10	7/143	0.035888376026736946	0.999537020139173	0	0	2.353356401384083	7.83042117986667	NNMT;ANXA1;IGFBP7;TGFBI;TFPI;HOXB7;SLC16A4
LJP008 HEPG2 24H-GSK-461364-0.12	4/58	0.03651227166845503	0.999537020139173	0	0	3.377293181031499	11.17920134299142	VNN1;LOX;IGFBP7;PPIC
LJP006 HS578T 3H-BI-2536-1.11	4/58	0.03651227166845503	0.999537020139173	0	0	3.377293181031499	11.17920134299142	HOXA10;CSTA;ANXA1;HOXB6
LJP008 HT29 24H-GSK-1070916-0.12	3/34	0.03652679256133166	0.999537020139173	0	0	4.4071734716896005	14.586462783107565	FN1;IGFBP7;LYZ
LJP006 MDAMB231 24H-AZD-8055-0.04	3/34	0.03652679256133166	0.999537020139173	0	0	4.4071734716896005	14.586462783107565	IL1R2;HOXA5;HOXC6
LJP006 SKBR3 24H-gefitinib-10	5/85	0.03694739710892102	0.999537020139173	0	0	2.8524590163934427	9.40815169696258	TGFBI;TFPI;LYZ;HOXA5;HOXC6
LJP005 SKBR3 24H-TWS-119-10	4/59	0.038524652017392	0.999537020139173	0	0	3.31571792693288	10.797492622613355	FN1;TFPI;LYZ;HOXC6
LJP007 HA1E 24H-GSK-3-inhibitor-II-0.37	4/59	0.038524652017392	0.999537020139173	0	0	3.31571792693288	10.797492622613355	LOX;LYZ;AQP1;PPIC
LJP007 HT29 24H-FR-180204-10	4/59	0.038524652017392	0.999537020139173	0	0	3.31571792693288	10.797492622613355	ABCC3;TFAP2B;STEAP3;TREM1
LJP005 A549 24H-AS-601245-0.04	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	NNMT;FN1;LYZ
LJP009 PC3 24H-dabrafenib-1.11	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	TGFBI;HOXC10;HOXC6
LJP009 PC3 24H-JNK-IN-5A-0.04	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	HOXA10;SHOX2;TMEM45A
LJP009 HCC515 24H-GW-5074-10	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	ANXA1;VNN1;TMEM45A
LJP005 HEPG2 24H-linsitinib-1.11	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	TFAP2B;CSTA;TMEM45A
LJP006 HME1 3H-celastrol-0.04	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	CYTL1;IGFBP7;TMEM45A
LJP006 SKBR3 3H-AZD-7762-1.11	3/35	0.03933054869947379	0.999537020139173	0	0	4.269230769230769	13.814179434723695	LOX;TFPI;HOXA5
CPC014 PC3 6H-BRD-K97764662-10.0	2/15	0.040595604361058045	0.999537020139173	0	0	6.996422182468694	22.417204727434342	FN1;AQP1
LJP006 HA1E 24H-saracatinib-1.11	4/60	0.040599332466489654	0.999537020139173	0	0	3.2563417890520694	10.43333099151764	LOX;FN1;CD99;HOXC6
CPC006 HT29 6H-BRD-K53414658-10.0	3/36	0.042240332630027744	0.999537020139173	0	0	4.139648230557322	13.099419094377758	CD163;HNF4G;AQP1
LJP005 BT20 24H-enzastaurin-10	3/36	0.042240332630027744	0.999537020139173	0	0	4.139648230557322	13.099419094377758	ANXA1;TFPI;HOXC6
LJP005 HA1E 24H-AZD-6482-1.11	3/36	0.042240332630027744	0.999537020139173	0	0	4.139648230557322	13.099419094377758	IL1R2;LYZ;TMEM45A
LJP006 MCF7 24H-GSK-1904529A-1.11	3/36	0.042240332630027744	0.999537020139173	0	0	4.139648230557322	13.099419094377758	CSTA;TREM1;PITX1
LJP006 A549 24H-XMD11-85H-10	4/61	0.04273633133873384	0.999537020139173	0	0	3.1990490244302343	10.085660636113492	ANXA1;IL1R2;LYZ;SLC16A4
LJP006 HA1E 24H-AZD-7762-0.12	4/61	0.04273633133873384	0.999537020139173	0	0	3.1990490244302343	10.085660636113492	LOX;FN1;S100A4;CD99
LJP006 HS578T 3H-WYE-125132-3.33	4/61	0.04273633133873384	0.999537020139173	0	0	3.1990490244302343	10.085660636113492	TFAP2B;CSTA;IL1R2;LYZ
LJP006 HS578T 3H-PHA-793887-1.11	4/61	0.04273633133873384	0.999537020139173	0	0	3.1990490244302343	10.085660636113492	HOXA10;OSR2;HOXA5;HOXB6
LJP006 HA1E 24H-CGP-60474-1.11	4/62	0.044935620517333116	0.999537020139173	0	0	3.1437318723815664	9.753505057241824	HOXA10;NNMT;HOXA5;HOXC6
LJP005 A549 24H-CYT387-10	3/37	0.045255075253201334	0.999537020139173	0	0	4.017688194158782	12.436514571107871	ANXA1;IGFBP7;LYZ
LJP009 HT29 24H-QL-XI-92-10	3/37	0.045255075253201334	0.999537020139173	0	0	4.017688194158782	12.436514571107871	CD163;HOXC6;TMEM45A
LJP005 MDAMB231 3H-torin-2-0.37	3/37	0.045255075253201334	0.999537020139173	0	0	4.017688194158782	12.436514571107871	NNMT;FN1;LYZ
LJP006 LNCAP 3H-WYE-125132-1.11	3/37	0.045255075253201334	0.999537020139173	0	0	4.017688194158782	12.436514571107871	CSTA;NNMT;LYZ
LJP006 HME1 24H-XMD-1150-10	7/151	0.045901330333669624	0.999537020139173	0	0	2.2216993464052286	6.845635947557636	TFAP2B;NNMT;ANXA1;LOX;FN1;IGFBP7;HOXC6
LJP009 A375 24H-JNK-IN-5A-0.04	4/63	0.047197126492921536	0.999537020139173	0	0	3.090289878029463	9.435959927010185	CSTA;IGFBP7;CD99;AQP1
LJP005 MDAMB231 3H-GSK-690693-10	5/91	0.04726985495995773	0.999537020139173	0	0	2.6526332988399326	8.095525150314145	CD163;VNN1;LOX;FN1;IGFBP7
LJP005 HEPG2 24H-WH-4-025-3.33	3/38	0.04837360115444108	0.999537020139173	0	0	3.9026973026973026	11.820493667769563	NNMT;TFPI;LYZ
LJP005 PC3 24H-dasatinib-0.12	3/38	0.04837360115444108	0.999537020139173	0	0	3.9026973026973026	11.820493667769563	MS4A6A;CSTA;CD163
LJP005 BT20 24H-NVP-AUY922-1.11	5/92	0.049140281055468214	0.999537020139173	0	0	2.6220086677972487	7.900311893261295	ABCC3;STEAP3;ANXA1;FN1;TGFBI
LJP005 A549 24H-CGP-60474-0.04	4/64	0.04952073138329756	0.999537020139173	0	0	3.0386292834890964	9.132186697143668	ABCC3;TFPI;HOXC10;SLC16A4
LJP005 SKBR3 3H-WH-4-025-10	4/64	0.04952073138329756	0.999537020139173	0	0	3.0386292834890964	9.132186697143668	TFAP2B;ANXA1;CYTL1;AQP1
LJP006 HA1E 24H-A443654-3.33	4/64	0.04952073138329756	0.999537020139173	0	0	3.0386292834890964	9.132186697143668	HOXA10;TGFBI;HOXA5;HOXC6
LJP007 PC3 24H-SB-216763-0.04	4/64	0.04952073138329756	0.999537020139173	0	0	3.0386292834890964	9.132186697143668	ADAMDEC1;NNMT;LOX;HOXB7
LJP006 SKBR3 24H-WYE-125132-3.33	7/155	0.05151717500036736	0.999537020139173	0	0	2.16120826709062	6.409797995501169	CSTA;LYZ;HOXC10;AQP1;PPIC;HOXC6;TMEM45A
LJP008 PC3 24H-GSK-461364-1.11	3/39	0.05159463587535265	0.999537020139173	0	0	3.794094794094794	11.246977733938815	ANG;TFPI;SLC16A4
LJP005 SKBR3 3H-PF-477736-0.37	3/39	0.05159463587535265	0.999537020139173	0	0	3.794094794094794	11.246977733938815	HOXA5;HOXB6;AQP1
LJP006 HA1E 24H-PD-0325901-1.11	3/39	0.05159463587535265	0.999537020139173	0	0	3.794094794094794	11.246977733938815	ABCC3;VNN1;IL1R2
LJP006 HA1E 24H-AZD-7762-1.11	3/39	0.05159463587535265	0.999537020139173	0	0	3.794094794094794	11.246977733938815	LOX;FN1;HOXA5
LJP008 PC3 24H-I-BET-0.37	4/65	0.05190627402603577	0.999537020139173	0	0	2.98866247893366	8.841406862343792	CSTA;S100A4;IGFBP7;CD99
LJP007 A549 24H-vorinostat-10	4/65	0.05190627402603577	0.999537020139173	0	0	2.98866247893366	8.841406862343792	ANXA1;IL1R2;TGFBI;HOXB7
LJP005 SKBR3 24H-PF-477736-10	6/124	0.05245172012199363	0.999537020139173	0	0	2.321556457388398	6.843628408001775	LOX;PITX1;HOXB7;HOXB6;HOXC10;AQP1
LJP005 MCF7 3H-tozasertib-0.04	4/66	0.054353551070988215	0.999537020139173	0	0	2.940307506783238	8.562896806735955	ANXA1;TGFBI;LYZ;PPIC
LJP007 HA1E 24H-AZ-628-10	4/66	0.054353551070988215	0.999537020139173	0	0	2.940307506783238	8.562896806735955	CD163;TGFBI;HOXB7;HOXB6
LJP007 HA1E 24H-AT7867-0.12	3/40	0.05491681283208858	0.999537020139173	0	0	3.6913626913626914	10.712097296366924	TFAP2B;LYZ;AQP1
LJP005 MCF7 24H-PF-477736-0.12	2/18	0.056708930166992334	0.999537020139173	0	0	5.683720930232558	16.311276359736333	HOXC10;HOXC6
CPC013 MCF7 6H-t6129388-10.0	2/18	0.056708930166992334	0.999537020139173	0	0	5.683720930232558	16.311276359736333	FN1;AQP1
LJP009 MCF7 24H-JWE-035-0.37	4/67	0.05686231806951564	0.999537020139173	0	0	2.8934876131137814	8.29598316580375	NNMT;IL1R2;LYZ;HOXC10
LJP005 HA1E 24H-PF-477736-3.33	4/67	0.05686231806951564	0.999537020139173	0	0	2.8934876131137814	8.29598316580375	HOXA10;LOX;HOXB7;HOXC6
LJP006 MCF7 24H-JNK-9L-0.37	4/67	0.05686231806951564	0.999537020139173	0	0	2.8934876131137814	8.29598316580375	LOX;HOXB7;HOXC10;HOXC6
LJP006 HCC515 24H-XMD-1150-10	5/96	0.057052997124369134	0.999537020139173	0	0	2.506240831767764	7.177309008450214	NNMT;LYZ;HOXB7;HOXA5;HOXB6
LJP005 HCC515 24H-radicicol-0.12	3/41	0.05833868001394666	0.999537020139173	0	0	3.5940375414059624	10.212421519846382	NNMT;LOX;IL1R2
LJP005 SKBR3 24H-AZD-8330-10	3/41	0.05833868001394666	0.999537020139173	0	0	3.5940375414059624	10.212421519846382	CSTA;NNMT;FCGR2B
LJP006 MDAMB231 3H-dasatinib-3.33	3/41	0.05833868001394666	0.999537020139173	0	0	3.5940375414059624	10.212421519846382	HOXA10;HOXA5;HOXC6
LJP006 PC3 24H-CGP-60474-3.33	3/41	0.05833868001394666	0.999537020139173	0	0	3.5940375414059624	10.212421519846382	CSTA;IL1R2;HOXC10
LJP008 PC3 24H-PFI-1-10	6/128	0.05940989577772526	0.999537020139173	0	0	2.2449780651119835	6.338234158532413	ANXA1;LOX;S100A4;HOXA5;CD99;AQP1
LJP006 SKBR3 24H-QL-X-138-0.37	4/68	0.05943229059951935	0.999537020139173	0	0	2.8481308411214954	8.040038642991103	TGFBI;LYZ;PPIC;HOXC6
LJP008 A375 24H-I-BET151-0.04	3/42	0.06185870632362652	0.999537020139173	0	0	3.501703424780348	9.744898952153301	NNMT;FN1;IGFBP7
LJP008 PC3 24H-CX-5461-3.33	3/42	0.06185870632362652	0.999537020139173	0	0	3.501703424780348	9.744898952153301	CSTA;APOC1;LYZ
LJP005 HS578T 3H-buparlisib-10	4/69	0.06206314542586192	0.999537020139173	0	0	2.8041696621135874	7.794478230395118	HOXA10;CSTA;LYZ;HOXA5
LJP006 BT20 24H-HG-6-64-01-3.33	4/69	0.06206314542586192	0.999537020139173	0	0	2.8041696621135874	7.794478230395118	TFAP2B;FN1;HOXB7;HOXC6
CPC014 PC3 6H-s1169-10.0	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	HOXA10;AQP1
CPC014 PC3 6H-BRD-U73238814-10.0	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	HOXA10;AQP1
LJP005 BT20 3H-pelitinib-1.11	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	HOXA10;TFPI
LJP005 MDAMB231 24H-mitoxantrone-1.11	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	FN1;IGFBP7
LJP006 A549 24H-lapatinib-10	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	ANXA1;CYTL1
LJP006 BT20 3H-NVP-TAE684-1.11	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	APOC1;FN1
CPC008 PC3 24H-BRD-K92742972-10.0	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	APOC1;COL8A1
CPC012 HA1E 6H-mls-0435555.0001-10.0	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	ABCC3;FN1
LJP007 HEPG2 24H-everolimus-10	2/19	0.0624985092586521	0.999537020139173	0	0	5.349110807113543	14.831011885586026	CSTA;TGFBI
LJP009 A549 24H-HY-11007-10	1/3	0.06341324189411972	0.999537020139173	0	0	22.698375870069604	62.60399500581984	TFPI
LJP007 A549 24H-OSI-930-10	1/3	0.06341324189411972	0.999537020139173	0	0	22.698375870069604	62.60399500581984	FN1
LJP008 A375 24H-GSK-1070916-3.33	4/70	0.06475452161337726	0.999537020139173	0	0	2.761540640045313	7.55875579276223	ANXA1;IL1R2;TFPI;HOXC6
